"Data","Sex","method","cod","result"
"BR1","f","BH2","5301",0.807567194221167
"BR1","f","GGB","1101",1.01189393924214
"BR1","f","GGB","1102",1.03574714332595
"BR1","f","GGB","1201",1.00027209930431
"BR1","f","GGB","1202",0.98877508454582
"BR1","f","GGB","1301",0.140627330842613
"BR1","f","GGB","1302",0.134302176566843
"BR1","f","GGB","1303",0.979758205441491
"BR1","f","GGB","1304",0.259547113764438
"BR1","f","GGB","1401",0.906007035421562
"BR1","f","GGB","1402",0.151661425657594
"BR1","f","GGB","1501",1.01702015340215
"BR1","f","GGB","1502",1.00747442413101
"BR1","f","GGB","1503",1.1061839468915
"BR1","f","GGB","1504",0.991473569190014
"BR1","f","GGB","1505",0.662503592113852
"BR1","f","GGB","1506",0.63932634616322
"BR1","f","GGB","1601",0.174310728723871
"BR1","f","GGB","1602",0.949945072834423
"BR1","f","GGB","1701",0.449987390128379
"BR1","f","GGB","1702",0.87409320609818
"BR1","f","GGB","2101",0.902787424047587
"BR1","f","GGB","2102",0.592344434439743
"BR1","f","GGB","2103",0.861617271730616
"BR1","f","GGB","2104",0.689857695557664
"BR1","f","GGB","2105",0.356728471312281
"BR1","f","GGB","2201",0.896818501851078
"BR1","f","GGB","2202",0.89572759291765
"BR1","f","GGB","2203",0.309099868246979
"BR1","f","GGB","2204",0.481894982030285
"BR1","f","GGB","2301",0.526565046293715
"BR1","f","GGB","2302",0.681082439143133
"BR1","f","GGB","2303",0.995879236677477
"BR1","f","GGB","2304",0.509479092195863
"BR1","f","GGB","2305",0.982884494090606
"BR1","f","GGB","2306",0.828811043352378
"BR1","f","GGB","2307",0.725566984564014
"BR1","f","GGB","2401",0.987252622158186
"BR1","f","GGB","2402",1.0431343305512
"BR1","f","GGB","2403",0.953110871677656
"BR1","f","GGB","2404",0.845347346387876
"BR1","f","GGB","2501",1.01809970475545
"BR1","f","GGB","2502",0.988615783913615
"BR1","f","GGB","2503",0.990592243199337
"BR1","f","GGB","2504",0.956994924305132
"BR1","f","GGB","2601",0.994047998186687
"BR1","f","GGB","2602",0.789458928223749
"BR1","f","GGB","2603",0.998432551790499
"BR1","f","GGB","2604",1.23695631778541
"BR1","f","GGB","2605",1.01858464240517
"BR1","f","GGB","2701",0.982567834298145
"BR1","f","GGB","2702",0.962347753049917
"BR1","f","GGB","2703",1.01488126711899
"BR1","f","GGB","2801",0.974913455396392
"BR1","f","GGB","2802",0.960864007456857
"BR1","f","GGB","2803",0.994944393231841
"BR1","f","GGB","2901",0.572721612474553
"BR1","f","GGB","2902",0.961071763660469
"BR1","f","GGB","2903",0.884387433137725
"BR1","f","GGB","2904",0.781656896353121
"BR1","f","GGB","2905",0.992163527062016
"BR1","f","GGB","2906",0.961744293172279
"BR1","f","GGB","2907",1.08868362007005
"BR1","f","GGB","3101",1.00687506555335
"BR1","f","GGB","3102",1.04664373089353
"BR1","f","GGB","3103",1.013136636182
"BR1","f","GGB","3104",1.09395545019216
"BR1","f","GGB","3105",1.04783716484152
"BR1","f","GGB","3106",1.04482731624314
"BR1","f","GGB","3107",1.20547497504451
"BR1","f","GGB","3108",1.05400616796745
"BR1","f","GGB","3109",1.00142054064441
"BR1","f","GGB","3110",0.989655844832043
"BR1","f","GGB","3111",1.0036190845567
"BR1","f","GGB","3112",1.02056860583396
"BR1","f","GGB","3201",1.03835135287007
"BR1","f","GGB","3202",0.990611182130019
"BR1","f","GGB","3203",0.940157439288451
"BR1","f","GGB","3204",1.02162107300045
"BR1","f","GGB","3301",1.062113590332
"BR1","f","GGB","3302",1.10781111573011
"BR1","f","GGB","3303",0.999057417215488
"BR1","f","GGB","3304",1.02631733359138
"BR1","f","GGB","3305",1.17504374093694
"BR1","f","GGB","3306",0.985069026952501
"BR1","f","GGB","3501",0.994462179739362
"BR1","f","GGB","3502",0.998639217613797
"BR1","f","GGB","3503",1.01181428087742
"BR1","f","GGB","3504",0.998022337229956
"BR1","f","GGB","3505",1.00188330431916
"BR1","f","GGB","3506",0.922775792023291
"BR1","f","GGB","3507",0.997636754183266
"BR1","f","GGB","3508",1.00458748636266
"BR1","f","GGB","3509",1.05161482999791
"BR1","f","GGB","3510",0.983754782100187
"BR1","f","GGB","3511",1.18605434872494
"BR1","f","GGB","3512",0.981718367126593
"BR1","f","GGB","3513",1.00369538258449
"BR1","f","GGB","3514",1.05823680507835
"BR1","f","GGB","3515",1.02117748725014
"BR1","f","GGB","4101",1.15896117301016
"BR1","f","GGB","4102",1.25970743030007
"BR1","f","GGB","4103",1.10146457437478
"BR1","f","GGB","4104",1.27127745790838
"BR1","f","GGB","4105",1.25290186647129
"BR1","f","GGB","4106",1.18431676840289
"BR1","f","GGB","4107",1.02283568651356
"BR1","f","GGB","4108",1.2645881082654
"BR1","f","GGB","4109",1.00069709751954
"BR1","f","GGB","4110",0.991754530167281
"BR1","f","GGB","4201",1.03232271801085
"BR1","f","GGB","4202",0.988180728019841
"BR1","f","GGB","4203",1.2113682069616
"BR1","f","GGB","4204",0.997126713239771
"BR1","f","GGB","4205",1.00723214840396
"BR1","f","GGB","4206",0.983799319289422
"BR1","f","GGB","4301",1.01717243135867
"BR1","f","GGB","4302",0.98901062792857
"BR1","f","GGB","4303",1.05875465685546
"BR1","f","GGB","4304",0.991692473731702
"BR1","f","GGB","4305",1.00178354583391
"BR1","f","GGB","4306",1.29297344415497
"BR1","f","GGB","4307",1.12801782377897
"BR1","f","GGB","5001",1.02876195009129
"BR1","f","GGB","5002",0.982314261367054
"BR1","f","GGB","5003",1.00439975790262
"BR1","f","GGB","5004",1.05158042485395
"BR1","f","GGB","5101",0.811194723475515
"BR1","f","GGB","5102",0.498099562253634
"BR1","f","GGB","5103",0.849229249621872
"BR1","f","GGB","5104",0.629673784926574
"BR1","f","GGB","5105",0.979452179167238
"BR1","f","GGB","5201",0.960759491602347
"BR1","f","GGB","5202",0.728029932875568
"BR1","f","GGB","5203",1.0624558457652
"BR1","f","GGB","5204",0.499349258916545
"BR1","f","GGB","5205",0.99444804530413
"BR1","f","GGB","5301",0.925069724157232
"BR1","m","BH1","1101",0.992295746700655
"BR1","m","BH1","1102",1.96369008453276
"BR1","m","BH1","1201",0.460132750525589
"BR1","m","BH1","1202",1.01976620460405
"BR1","m","BH1","1301",0.239739955685326
"BR1","m","BH1","1302",0.0869602997897193
"BR1","m","BH1","1303",0.781408696266161
"BR1","m","BH1","1304",0.172282312904911
"BR1","m","BH1","1401",0.974220895377437
"BR1","m","BH1","1402",0.880867471258018
"BR1","m","BH1","1501",0.45621634556213
"BR1","m","BH1","1502",0.273748868965582
"BR1","m","BH1","1503",0.927237014190328
"BR1","m","BH1","1504",0.366521712873359
"BR1","m","BH1","1505",2.3360501454417
"BR1","m","BH1","1506",1.10709826267085
"BR1","m","BH1","1601",0.21739606449782
"BR1","m","BH1","1602",0.921678762133118
"BR1","m","BH1","1701",0.399403672828132
"BR1","m","BH1","1702",0.334895342179946
"BR1","m","BH1","2101",0.40292790948014
"BR1","m","BH1","2102",0.472832316851008
"BR1","m","BH1","2103",0.248198506405283
"BR1","m","BH1","2104",0.282384689262525
"BR1","m","BH1","2105",0.301245092315981
"BR1","m","BH1","2201",0.437576478519744
"BR1","m","BH1","2202",0.495039913709594
"BR1","m","BH1","2203",0.202457494512809
"BR1","m","BH1","2204",0.232647352090272
"BR1","m","BH1","2301",0.281746500429991
"BR1","m","BH1","2302",0.353706261761975
"BR1","m","BH1","2303",0.82838553527589
"BR1","m","BH1","2304",0.217210962944766
"BR1","m","BH1","2305",0.596340938891754
"BR1","m","BH1","2306",0.384520331598068
"BR1","m","BH1","2307",0.269489352373262
"BR1","m","BH1","2401",0.568277714591086
"BR1","m","BH1","2402",0.760233620268721
"BR1","m","BH1","2403",0.475151482186653
"BR1","m","BH1","2404",0.950466868511454
"BR1","m","BH1","2501",0.479165315281597
"BR1","m","BH1","2502",0.617733024791036
"BR1","m","BH1","2503",0.777754716496472
"BR1","m","BH1","2504",0.949455887616422
"BR1","m","BH1","2601",0.51553925399895
"BR1","m","BH1","2602",0.751839796613396
"BR1","m","BH1","2603",0.794051479523135
"BR1","m","BH1","2604",0.767163264783724
"BR1","m","BH1","2605",0.711201487762632
"BR1","m","BH1","2701",0.488888386001686
"BR1","m","BH1","2702",0.647418921543527
"BR1","m","BH1","2703",0.821957977148772
"BR1","m","BH1","2801",0.531146821443285
"BR1","m","BH1","2802",0.729237532241246
"BR1","m","BH1","2803",0.951924413044828
"BR1","m","BH1","2901",0.400080508007473
"BR1","m","BH1","2902",0.458375174880414
"BR1","m","BH1","2903",0.492441130830029
"BR1","m","BH1","2904",0.486762495732389
"BR1","m","BH1","2905",0.703563898481873
"BR1","m","BH1","2906",0.433622076010237
