"Data","Sex","method","cod","result"
"BR1","f","BH2","2403",0.818401605158168
"BR1","f","BH2","2404",0.79736121682629
"BR1","f","BH2","2501",0.903531769982495
"BR1","f","BH2","2502",0.964342056107429
"BR1","f","BH2","2503",0.97199849072982
"BR1","f","BH2","2504",0.920613480624754
"BR1","f","BH2","2601",0.8830698457178
"BR1","f","BH2","2602",0.732256785615653
"BR1","f","BH2","2603",0.994138701449535
"BR1","f","BH2","2604",1.28494858015182
"BR1","f","BH2","2605",1.02206657052526
"BR1","f","BH2","2701",0.841287219530402
"BR1","f","BH2","2702",0.903734957391213
"BR1","f","BH2","2703",0.993974168785735
"BR1","f","BH2","2801",0.982725646130484
"BR1","f","BH2","2802",0.935331908069798
"BR1","f","BH2","2803",0.974224019282545
"BR1","f","BH2","2901",0.540500538124949
"BR1","f","BH2","2902",0.829765742819329
"BR1","f","BH2","2903",0.749219134649273
"BR1","f","BH2","2904",0.669370475238452
"BR1","f","BH2","2905",0.97526204157557
"BR1","f","BH2","2906",0.791219779398734
"BR1","f","BH2","2907",1.05643862151981
"BR1","f","BH2","3101",1.05251940573285
"BR1","f","BH2","3102",0.951026392893173
"BR1","f","BH2","3103",0.964593226282572
"BR1","f","BH2","3104",1.10209903686275
"BR1","f","BH2","3105",1.02729628509322
"BR1","f","BH2","3106",1.05622763950476
"BR1","f","BH2","3107",1.15978762363575
"BR1","f","BH2","3108",1.06408233163235
"BR1","f","BH2","3109",1.00242393332475
"BR1","f","BH2","3110",0.96791764599239
"BR1","f","BH2","3111",1.0013082274267
"BR1","f","BH2","3112",0.985822201311783
"BR1","f","BH2","3201",1.1003779434366
"BR1","f","BH2","3202",0.967612896722509
"BR1","f","BH2","3203",0.872746359669953
"BR1","f","BH2","3204",1.00347177907081
"BR1","f","BH2","3301",0.992214795691901
"BR1","f","BH2","3302",1.10197600538083
"BR1","f","BH2","3303",0.967287362968387
"BR1","f","BH2","3304",0.947510520040491
"BR1","f","BH2","3305",1.16459930331927
"BR1","f","BH2","3306",1.01835600398693
"BR1","f","BH2","3501",0.945069801609249
"BR1","f","BH2","3502",0.945886245457866
"BR1","f","BH2","3503",0.96281679110883
"BR1","f","BH2","3504",0.965528323946418
"BR1","f","BH2","3505",0.938069390914334
"BR1","f","BH2","3506",0.875598690108555
"BR1","f","BH2","3507",0.931685295005612
"BR1","f","BH2","3508",0.996211801311516
"BR1","f","BH2","3509",1.02573910048236
