UF	AGE	POP_80	DEATH_80	POP_91	DEATH_91	POP_00	DEATH_00	POP_10	DEATH_10	
381	13	65	8661	224	12201	281	17144	401	25717	515
408	13	70	4940	210	7680	227	12121	475	17663	608
435	13	75	2542	148	4863	241	7887	437	11747	597
462	13	80	1145	139	3599	322	7195	734	12014	1186
4	14	0	1568	112	2972	88	4257	89	4783	63
31	14	1	5480	16	12175	22	18011	31	19536	20
58	14	5	5777	5	15165	12	21172	15	25254	5
85	14	10	4873	2	12794	12	19779	9	26321	13
112	14	15	4332	5	11142	22	18848	50	23737	40
139	14	20	3764	9	13551	31	16075	59	21828	53
166	14	25	3506	7	14544	54	13470	49	21398	55
193	14	30	2845	7	11203	35	12386	57	18326	72
220	14	35	2002	6	7721	29	10929	46	14909	50
247	14	40	1710	10	6037	21	8830	51	13039	54
274	14	45	1355	13	3937	19	6859	45	11142	58
301	14	50	1270	8	3003	20	5040	36	8831	71
328	14	55	1004	16	1960	16	3360	47	6719	77
355	14	60	686	9	1513	38	2597	51	4942	66
382	14	65	469	7	1115	25	1764	43	3213	70
409	14	70	281	3	658	18	1214	39	2200	76
436	14	75	121	9	408	12	779	43	1334	63
463	14	80	70	10	299	20	667	66	1347	130
5	15	0	65088	2754	70751	1547	77259	1802	72285	1454
32	15	1	235234	626	290607	420	318792	364	303131	277
59	15	5	257427	191	366078	188	389664	135	397851	167
86	15	10	224097	158	337416	135	382467	134	425547	173
113	15	15	186918	263	280345	303	371238	380	396977	884
140	15	20	159596	347	230595	443	312171	521	375541	1269
167	15	25	128077	374	190137	424	252511	462	352748	1165
194	15	30	99147	254	164506	428	214968	513	310021	1039
221	15	35	83120	298	135473	396	185800	541	259525	875
248	15	40	73333	353	110873	415	155518	582	221142	900
275	15	45	56143	324	86083	414	125771	589	179840	977
302	15	50	46833	393	69345	511	96586	629	148706	1086
329	15	55	33444	395	51493	544	75341	760	117257	1149
356	15	60	24492	401	42437	612	60172	804	88058	1267
383	15	65	23267	545	31188	664	44898	958	67039	1377
410	15	70	14177	605	20226	687	31363	1022	46729	1565
437	15	75	7755	521	14099	756	19130	933	30050	1410
464	15	80	4071	493	10770	1065	19119	1534	29390	2672
6	16	0	3675	148	4683	142	6985	185	7102	148
33	16	1	13327	25	18477	32	27352	26	28552	24
60	16	5	14250	5	22896	19	31280	22	37067	20
