cod	sex	age	pop1	year1	pop2	year2	death
1501	f	45	6699	1980	8525	1991	21.06
1501	f	50	5301	1980	6629	1991	25.47
1501	f	55	3766	1980	5449	1991	27.38
1501	f	60	3200	1980	4569	1991	32.03
1501	f	65	2911	1980	3354	1991	41.28
1501	f	70	2072	1980	2443	1991	55.52
1501	f	75	1231	1980	1908	1991	63.99
1501	f	80	821	1980	1799	1991	122.23
1502	f	0	5945	1980	5601	1991	87.12
1502	f	1	22153	1980	21960	1991	24.42
1502	f	5	22779	1980	25497	1991	6.18
1502	f	10	17958	1980	22462	1991	4.22
1502	f	15	14518	1980	17183	1991	6.43
1502	f	20	11388	1980	12202	1991	6.52
1502	f	25	8559	1980	9519	1991	5.53
1502	f	30	6575	1980	7846	1991	6.08
1502	f	35	5991	1980	6766	1991	7.76
1502	f	40	4901	1980	5193	1991	7.91
1502	f	45	3875	1980	4431	1991	7.51
1502	f	50	2947	1980	3415	1991	8.96
1502	f	55	2190	1980	2836	1991	9.93
1502	f	60	1758	1980	2355	1991	11.34
1502	f	65	2046	1980	1989	1991	17.42
1502	f	70	1309	1980	1413	1991	21.64
1502	f	75	764	1980	1232	1991	27.37
1502	f	80	484	1980	1115	1991	52.16
1503	f	0	18954	1980	17370	1991	647.66
1503	f	1	66709	1980	74371	1991	181.89
1503	f	5	76432	1980	97911	1991	50.35
1503	f	10	76620	1980	102985	1991	41.66
1503	f	15	76593	1980	103275	1991	81.62
1503	f	20	65381	1980	90391	1991	95.96
1503	f	25	49977	1980	75091	1991	84.65
1503	f	30	37575	1980	63639	1991	93.24
1503	f	35	30355	1980	51581	1991	108.91
1503	f	40	25679	1980	39965	1991	113.51
1503	f	45	20282	1980	30845	1991	102.15
1503	f	50	17748	1980	24722	1991	132.29
1503	f	55	12607	1980	19483	1991	139.43
1503	f	60	10316	1980	16838	1991	163.72
1503	f	65	8560	1980	12092	1991	198.95
1503	f	70	6164	1980	8497	1991	259.38
1503	f	75	4381	1980	6262	1991	320.12
1503	f	80	3352	1980	6493	1991	684.43
1504	f	0	19365	1980	19503	1991	346.85
1504	f	1	72518	1980	78627	1991	99.40
1504	f	5	79867	1980	96295	1991	26.14
1504	f	10	67937	1980	84407	1991	18.17
1504	f	15	51302	1980	64137	1991	26.96
1504	f	20	39710	1980	48037	1991	27.98
1504	f	25	31396	1980	37781	1991	24.59
1504	f	30	24793	1980	31878	1991	27.78
1504	f	35	22884	1980	28020	1991	35.66
1504	f	40	19038	1980	22440	1991	37.39
1504	f	45	14557	1980	18892	1991	34.54
